organization_id,name,aliases,type,status,synthetic_demo_record
ORG_0001,Chahal Consultancy Pvt Ltd,Front: Chahal Corp,front_business,active,True
ORG_0002,Bal Logistics Pvt Ltd,Front: Bal Corp,logistics_firm,active,True
ORG_0003,Samra Logistics Pvt Ltd,Front: Samra Corp,front_business,active,True
ORG_0004,Pillay Consultancy Pvt Ltd,Front: Pillay Corp,shell_company,active,True
ORG_0005,Shanker Holdings Pvt Ltd,Front: Shanker Corp,import_export,active,True
ORG_0006,Deshmukh Consultancy Pvt Ltd,Front: Deshmukh Corp,logistics_firm,active,True
ORG_0007,Sehgal Logistics Pvt Ltd,Front: Sehgal Corp,criminal_gang,active,True
ORG_0008,Sama Consultancy Pvt Ltd,Front: Sama Corp,front_business,active,True
ORG_0009,Raja Enterprises Pvt Ltd,Front: Raja Corp,import_export,active,True
ORG_0010,Peri Consultancy Pvt Ltd,Front: Peri Corp,import_export,active,True
ORG_0011,Sama Enterprises Pvt Ltd,Front: Sama Corp,criminal_gang,active,True
ORG_0012,Dugar Traders Pvt Ltd,Front: Dugar Corp,shell_company,active,True
ORG_0013,Basak Exports Pvt Ltd,Front: Basak Corp,front_business,active,True
ORG_0014,Sama Enterprises Pvt Ltd,Front: Sama Corp,import_export,active,True
ORG_0015,Tara Logistics Pvt Ltd,Front: Tara Corp,shell_company,active,True
ORG_0016,Bawa Enterprises Pvt Ltd,Front: Bawa Corp,front_business,active,True
ORG_0017,Keer Enterprises Pvt Ltd,Front: Keer Corp,shell_company,active,True
ORG_0018,Kaul Enterprises Pvt Ltd,Front: Kaul Corp,front_business,active,True
ORG_0019,Kala Enterprises Pvt Ltd,Front: Kala Corp,logistics_firm,active,True
ORG_0020,Prashad Holdings Pvt Ltd,Front: Prashad Corp,shell_company,active,True
ORG_0021,Sastry Consultancy Pvt Ltd,Front: Sastry Corp,criminal_gang,active,True
ORG_0022,Sur Exports Pvt Ltd,Front: Sur Corp,logistics_firm,active,True
ORG_0023,Sha Exports Pvt Ltd,Front: Sha Corp,criminal_gang,active,True
ORG_0024,Kunda Logistics Pvt Ltd,Front: Kunda Corp,shell_company,active,True
ORG_0025,Mukhopadhyay Traders Pvt Ltd,Front: Mukhopadhyay Corp,front_business,active,True
ORG_0026,Chandran Enterprises Pvt Ltd,Front: Chandran Corp,shell_company,active,True
ORG_0027,Bandi Holdings Pvt Ltd,Front: Bandi Corp,logistics_firm,active,True
ORG_0028,Krishnamurthy Exports Pvt Ltd,Front: Krishnamurthy Corp,shell_company,active,True
ORG_0029,Jain Exports Pvt Ltd,Front: Jain Corp,front_business,active,True
ORG_0030,Singh Exports Pvt Ltd,Front: Singh Corp,logistics_firm,active,True
ORG_0031,Dara Consultancy Pvt Ltd,Front: Dara Corp,shell_company,active,True
ORG_0032,Choudhury Exports Pvt Ltd,Front: Choudhury Corp,front_business,active,True
ORG_0033,Venkatesh Exports Pvt Ltd,Front: Venkatesh Corp,front_business,active,True
ORG_0034,Grewal Enterprises Pvt Ltd,Front: Grewal Corp,logistics_firm,active,True
ORG_0035,Bhakta Consultancy Pvt Ltd,Front: Bhakta Corp,criminal_gang,active,True
ORG_0036,Arora Consultancy Pvt Ltd,Front: Arora Corp,logistics_firm,active,True
ORG_0037,Kamdar Traders Pvt Ltd,Front: Kamdar Corp,logistics_firm,active,True
ORG_0038,Maharaj Enterprises Pvt Ltd,Front: Maharaj Corp,front_business,active,True
ORG_0039,Banik Enterprises Pvt Ltd,Front: Banik Corp,criminal_gang,active,True
ORG_0040,Korpal Consultancy Pvt Ltd,Front: Korpal Corp,import_export,active,True
ORG_0041,Nayak Holdings Pvt Ltd,Front: Nayak Corp,import_export,active,True
ORG_0042,Vaidya Logistics Pvt Ltd,Front: Vaidya Corp,shell_company,active,True
ORG_0043,Goswami Logistics Pvt Ltd,Front: Goswami Corp,logistics_firm,active,True
ORG_0044,Sood Enterprises Pvt Ltd,Front: Sood Corp,import_export,active,True
ORG_0045,Comar Enterprises Pvt Ltd,Front: Comar Corp,shell_company,active,True
ORG_0046,Sunder Holdings Pvt Ltd,Front: Sunder Corp,criminal_gang,active,True
ORG_0047,Hora Holdings Pvt Ltd,Front: Hora Corp,shell_company,active,True
ORG_0048,Deshmukh Exports Pvt Ltd,Front: Deshmukh Corp,shell_company,active,True
ORG_0049,Bera Exports Pvt Ltd,Front: Bera Corp,logistics_firm,active,True
ORG_0050,Kakar Holdings Pvt Ltd,Front: Kakar Corp,shell_company,active,True
ORG_0051,Buch Holdings Pvt Ltd,Front: Buch Corp,front_business,active,True
ORG_0052,Apte Consultancy Pvt Ltd,Front: Apte Corp,import_export,active,True
ORG_0053,Sarkar Holdings Pvt Ltd,Front: Sarkar Corp,import_export,active,True
ORG_0054,Ranganathan Consultancy Pvt Ltd,Front: Ranganathan Corp,front_business,active,True
ORG_0055,Rana Holdings Pvt Ltd,Front: Rana Corp,front_business,active,True
ORG_0056,Manda Traders Pvt Ltd,Front: Manda Corp,front_business,active,True
ORG_0057,Sarin Consultancy Pvt Ltd,Front: Sarin Corp,logistics_firm,active,True
ORG_0058,Parsa Consultancy Pvt Ltd,Front: Parsa Corp,import_export,active,True
ORG_0059,Char Enterprises Pvt Ltd,Front: Char Corp,shell_company,active,True
ORG_0060,Thaker Exports Pvt Ltd,Front: Thaker Corp,criminal_gang,active,True
ORG_0061,Loke Exports Pvt Ltd,Front: Loke Corp,criminal_gang,active,True
ORG_0062,Soman Enterprises Pvt Ltd,Front: Soman Corp,import_export,active,True
ORG_0063,Trivedi Exports Pvt Ltd,Front: Trivedi Corp,logistics_firm,active,True
ORG_0064,Trivedi Traders Pvt Ltd,Front: Trivedi Corp,criminal_gang,active,True
ORG_0065,Tara Enterprises Pvt Ltd,Front: Tara Corp,shell_company,active,True
ORG_0066,Sibal Consultancy Pvt Ltd,Front: Sibal Corp,logistics_firm,active,True
ORG_0067,Vora Enterprises Pvt Ltd,Front: Vora Corp,logistics_firm,active,True
ORG_0068,Vala Exports Pvt Ltd,Front: Vala Corp,front_business,active,True
ORG_0069,Modi Consultancy Pvt Ltd,Front: Modi Corp,import_export,active,True
ORG_0070,Palla Exports Pvt Ltd,Front: Palla Corp,front_business,active,True
ORG_0071,Tella Exports Pvt Ltd,Front: Tella Corp,import_export,active,True
ORG_0072,Swamy Traders Pvt Ltd,Front: Swamy Corp,front_business,active,True
ORG_0073,Parekh Enterprises Pvt Ltd,Front: Parekh Corp,import_export,active,True
ORG_0074,Shroff Exports Pvt Ltd,Front: Shroff Corp,logistics_firm,active,True
ORG_0075,Sood Consultancy Pvt Ltd,Front: Sood Corp,import_export,active,True
ORG_0076,Chada Traders Pvt Ltd,Front: Chada Corp,criminal_gang,active,True
ORG_0077,Chaudhary Consultancy Pvt Ltd,Front: Chaudhary Corp,front_business,active,True
ORG_0078,Master Logistics Pvt Ltd,Front: Master Corp,logistics_firm,active,True
ORG_0079,Chadha Logistics Pvt Ltd,Front: Chadha Corp,front_business,active,True
ORG_0080,Shanker Consultancy Pvt Ltd,Front: Shanker Corp,logistics_firm,active,True
ORG_0081,Memon Logistics Pvt Ltd,Front: Memon Corp,logistics_firm,active,True
ORG_0082,Saha Exports Pvt Ltd,Front: Saha Corp,logistics_firm,active,True
ORG_0083,Bhavsar Logistics Pvt Ltd,Front: Bhavsar Corp,import_export,active,True
ORG_0084,Bhagat Consultancy Pvt Ltd,Front: Bhagat Corp,front_business,active,True
ORG_0085,Prashad Logistics Pvt Ltd,Front: Prashad Corp,shell_company,active,True
ORG_0086,Goel Logistics Pvt Ltd,Front: Goel Corp,import_export,active,True
ORG_0087,Kar Holdings Pvt Ltd,Front: Kar Corp,shell_company,active,True
ORG_0088,Pandya Enterprises Pvt Ltd,Front: Pandya Corp,import_export,active,True
ORG_0089,Char Traders Pvt Ltd,Front: Char Corp,front_business,active,True
ORG_0090,Bail Enterprises Pvt Ltd,Front: Bail Corp,front_business,active,True
ORG_0091,Yohannan Traders Pvt Ltd,Front: Yohannan Corp,import_export,active,True
ORG_0092,Jayaraman Logistics Pvt Ltd,Front: Jayaraman Corp,front_business,active,True
ORG_0093,Deol Holdings Pvt Ltd,Front: Deol Corp,import_export,active,True
ORG_0094,Tak Exports Pvt Ltd,Front: Tak Corp,shell_company,active,True
ORG_0095,Varughese Exports Pvt Ltd,Front: Varughese Corp,front_business,active,True
ORG_0096,Rao Traders Pvt Ltd,Front: Rao Corp,shell_company,active,True
ORG_0097,Ramanathan Logistics Pvt Ltd,Front: Ramanathan Corp,front_business,active,True
ORG_0098,Venkatesh Logistics Pvt Ltd,Front: Venkatesh Corp,shell_company,active,True
ORG_0099,Sandal Logistics Pvt Ltd,Front: Sandal Corp,shell_company,active,True
ORG_0100,Vohra Logistics Pvt Ltd,Front: Vohra Corp,import_export,active,True
ORG_0101,Mitra Holdings Pvt Ltd,Front: Mitra Corp,logistics_firm,active,True
ORG_0102,Dhingra Traders Pvt Ltd,Front: Dhingra Corp,criminal_gang,active,True
ORG_0103,Badami Consultancy Pvt Ltd,Front: Badami Corp,import_export,active,True
ORG_0104,Bail Exports Pvt Ltd,Front: Bail Corp,logistics_firm,active,True
ORG_0105,Karnik Exports Pvt Ltd,Front: Karnik Corp,shell_company,active,True
ORG_0106,Grover Traders Pvt Ltd,Front: Grover Corp,import_export,active,True
ORG_0107,Rajan Traders Pvt Ltd,Front: Rajan Corp,logistics_firm,active,True
ORG_0108,Narayanan Logistics Pvt Ltd,Front: Narayanan Corp,shell_company,active,True
ORG_0109,Bhasin Traders Pvt Ltd,Front: Bhasin Corp,criminal_gang,active,True
ORG_0110,Kari Traders Pvt Ltd,Front: Kari Corp,import_export,active,True
ORG_0111,Bawa Logistics Pvt Ltd,Front: Bawa Corp,import_export,active,True
ORG_0112,Nadig Consultancy Pvt Ltd,Front: Nadig Corp,criminal_gang,active,True
ORG_0113,Dey Enterprises Pvt Ltd,Front: Dey Corp,import_export,active,True
ORG_0114,Lal Enterprises Pvt Ltd,Front: Lal Corp,shell_company,active,True
ORG_0115,Chandra Traders Pvt Ltd,Front: Chandra Corp,criminal_gang,active,True
ORG_0116,Char Consultancy Pvt Ltd,Front: Char Corp,front_business,active,True
ORG_0117,Mahajan Exports Pvt Ltd,Front: Mahajan Corp,front_business,active,True
ORG_0118,Ganguly Consultancy Pvt Ltd,Front: Ganguly Corp,import_export,active,True
ORG_0119,Baral Holdings Pvt Ltd,Front: Baral Corp,criminal_gang,active,True
ORG_0120,Savant Holdings Pvt Ltd,Front: Savant Corp,logistics_firm,active,True
ORG_0121,Ray Enterprises Pvt Ltd,Front: Ray Corp,front_business,active,True
ORG_0122,Prakash Exports Pvt Ltd,Front: Prakash Corp,import_export,active,True
ORG_0123,Chandran Holdings Pvt Ltd,Front: Chandran Corp,logistics_firm,active,True
ORG_0124,Kapoor Consultancy Pvt Ltd,Front: Kapoor Corp,import_export,active,True
ORG_0125,Kalita Logistics Pvt Ltd,Front: Kalita Corp,front_business,active,True
ORG_0126,Nazareth Logistics Pvt Ltd,Front: Nazareth Corp,front_business,active,True
ORG_0127,Gokhale Logistics Pvt Ltd,Front: Gokhale Corp,shell_company,active,True
ORG_0128,Mandal Exports Pvt Ltd,Front: Mandal Corp,criminal_gang,active,True
ORG_0129,Prakash Exports Pvt Ltd,Front: Prakash Corp,criminal_gang,active,True
ORG_0130,Soni Consultancy Pvt Ltd,Front: Soni Corp,criminal_gang,active,True
ORG_0131,Sarkar Exports Pvt Ltd,Front: Sarkar Corp,criminal_gang,active,True
ORG_0132,Bera Logistics Pvt Ltd,Front: Bera Corp,shell_company,active,True
ORG_0133,Kothari Traders Pvt Ltd,Front: Kothari Corp,shell_company,active,True
ORG_0134,Sahni Holdings Pvt Ltd,Front: Sahni Corp,front_business,active,True
ORG_0135,Bobal Consultancy Pvt Ltd,Front: Bobal Corp,front_business,active,True
ORG_0136,Balasubramanian Consultancy Pvt Ltd,Front: Balasubramanian Corp,shell_company,active,True
ORG_0137,Zacharia Exports Pvt Ltd,Front: Zacharia Corp,criminal_gang,active,True
ORG_0138,Madan Holdings Pvt Ltd,Front: Madan Corp,shell_company,active,True
ORG_0139,Gala Traders Pvt Ltd,Front: Gala Corp,logistics_firm,active,True
ORG_0140,Sridhar Traders Pvt Ltd,Front: Sridhar Corp,logistics_firm,active,True
ORG_0141,Bhagat Enterprises Pvt Ltd,Front: Bhagat Corp,shell_company,active,True
ORG_0142,Mitra Logistics Pvt Ltd,Front: Mitra Corp,logistics_firm,active,True
ORG_0143,Nadig Exports Pvt Ltd,Front: Nadig Corp,shell_company,active,True
ORG_0144,Jha Consultancy Pvt Ltd,Front: Jha Corp,shell_company,active,True
ORG_0145,Vig Consultancy Pvt Ltd,Front: Vig Corp,criminal_gang,active,True
ORG_0146,Samra Logistics Pvt Ltd,Front: Samra Corp,logistics_firm,active,True
ORG_0147,Sawhney Enterprises Pvt Ltd,Front: Sawhney Corp,shell_company,active,True
ORG_0148,Rao Holdings Pvt Ltd,Front: Rao Corp,logistics_firm,active,True
ORG_0149,Boase Exports Pvt Ltd,Front: Boase Corp,criminal_gang,active,True
ORG_0150,Dhar Consultancy Pvt Ltd,Front: Dhar Corp,import_export,active,True
ORG_0151,Sen Traders Pvt Ltd,Front: Sen Corp,logistics_firm,active,True
ORG_0152,Sabharwal Exports Pvt Ltd,Front: Sabharwal Corp,import_export,active,True
ORG_0153,Swaminathan Traders Pvt Ltd,Front: Swaminathan Corp,logistics_firm,active,True
ORG_0154,Puri Exports Pvt Ltd,Front: Puri Corp,logistics_firm,active,True
ORG_0155,Doshi Traders Pvt Ltd,Front: Doshi Corp,logistics_firm,active,True
ORG_0156,Comar Enterprises Pvt Ltd,Front: Comar Corp,front_business,active,True
ORG_0157,Hayre Traders Pvt Ltd,Front: Hayre Corp,front_business,active,True
ORG_0158,Nayak Traders Pvt Ltd,Front: Nayak Corp,import_export,active,True
ORG_0159,Mital Enterprises Pvt Ltd,Front: Mital Corp,import_export,active,True
ORG_0160,Nagi Holdings Pvt Ltd,Front: Nagi Corp,criminal_gang,active,True
ORG_0161,Raval Consultancy Pvt Ltd,Front: Raval Corp,criminal_gang,active,True
ORG_0162,Bir Holdings Pvt Ltd,Front: Bir Corp,shell_company,active,True
ORG_0163,Mand Exports Pvt Ltd,Front: Mand Corp,shell_company,active,True
ORG_0164,Karan Holdings Pvt Ltd,Front: Karan Corp,criminal_gang,active,True
ORG_0165,Dara Consultancy Pvt Ltd,Front: Dara Corp,shell_company,active,True
ORG_0166,Padmanabhan Consultancy Pvt Ltd,Front: Padmanabhan Corp,front_business,active,True
